Dataset name: LMR Seasonal
Dataset details: lmr_seasonal v.1_0_0 tas djf
Method(s): ['LMR_seasonal']
Lat/lon or region: 31 degN -90 degE
---
Original source URL: https://atmos.uw.edu/~zilumeng/LMR_Seasonal/index.html
New reference period: 0-1 ka
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: temperature (degrees Celsius)
---
Year (CE),LMR_seasonal mean (degrees Celsius)
800.00,0.09
801.00,0.09
802.00,0.14
803.00,-0.03
804.00,-0.28
805.00,-0.51
806.00,-0.46
807.00,-0.19
808.00,-0.61
809.00,-0.66
810.00,-0.05
811.00,-0.35
812.00,-0.06
813.00,-0.13
814.00,0.08
815.00,0.08
816.00,0.42
817.00,-0.53
818.00,-0.36
819.00,-0.59
820.00,0.00
821.00,-0.17
822.00,-0.64
823.00,-0.06
824.00,-0.18
825.00,-0.06
826.00,0.38
827.00,0.09
828.00,0.03
829.00,-0.29
830.00,-0.07
831.00,-0.22
832.00,-0.37
833.00,-0.43
834.00,-0.42
835.00,0.10
836.00,0.13
837.00,-0.13
838.00,-0.03
839.00,0.34
840.00,0.19
841.00,0.03
842.00,-0.38
843.00,0.19
844.00,-0.09
845.00,0.33
846.00,-0.22
847.00,0.23
848.00,-0.39
849.00,0.08
850.00,-0.04
851.00,0.26
852.00,0.10
853.00,0.30
854.00,0.25
855.00,-0.19
856.00,0.13
857.00,-0.62
858.00,-0.73
859.00,-0.74
860.00,-0.42
861.00,-0.63
862.00,-0.40
863.00,-0.19
864.00,-0.11
865.00,-0.03
866.00,0.11
867.00,0.00
868.00,-0.18
869.00,0.16
870.00,-0.18
871.00,-0.33
872.00,-0.44
873.00,-0.00
874.00,-0.58
875.00,-0.57
876.00,-0.44
877.00,-0.17
878.00,0.24
879.00,0.53
880.00,0.47
881.00,0.58
882.00,0.25
883.00,0.25
884.00,0.29
885.00,0.12
886.00,0.23
887.00,-0.03
888.00,0.99
889.00,0.83
890.00,0.74
891.00,-0.19
892.00,-0.05
893.00,0.18
894.00,-0.12
895.00,0.27
896.00,0.17
897.00,0.59
898.00,0.62
899.00,0.14
900.00,0.12
901.00,-0.07
902.00,-0.14
903.00,0.31
904.00,-0.10
905.00,-0.38
906.00,-0.31
907.00,-0.44
908.00,-0.32
909.00,-0.12
910.00,0.11
911.00,-0.33
912.00,0.04
913.00,-0.06
914.00,-0.25
915.00,0.30
916.00,0.57
917.00,0.01
918.00,0.01
919.00,0.09
920.00,-0.36
921.00,0.10
922.00,0.36
923.00,0.24
924.00,0.47
925.00,0.22
926.00,-0.03
927.00,-0.36
928.00,-0.22
929.00,-0.04
930.00,0.22
931.00,-0.55
932.00,0.13
933.00,-0.29
934.00,0.01
935.00,-0.12
936.00,0.19
937.00,-0.07
938.00,-0.05
939.00,0.15
940.00,0.30
941.00,-0.11
942.00,0.29
943.00,-0.85
944.00,-0.75
945.00,-0.78
946.00,-0.82
947.00,0.05
948.00,-0.06
949.00,-0.27
950.00,-0.16
951.00,-0.10
952.00,0.30
953.00,0.43
954.00,0.03
955.00,-0.31
956.00,-0.87
957.00,-0.94
958.00,-0.17
959.00,-0.43
960.00,-0.41
961.00,-0.60
962.00,-0.83
963.00,-1.01
964.00,-0.61
965.00,-0.64
966.00,-0.58
967.00,-0.82
968.00,-0.44
969.00,0.13
970.00,0.39
971.00,0.64
972.00,-0.05
973.00,0.28
974.00,0.26
975.00,0.33
976.00,0.22
977.00,-0.07
978.00,0.11
979.00,0.05
980.00,0.05
981.00,0.15
982.00,0.08
983.00,0.58
984.00,0.40
985.00,0.08
986.00,-0.03
987.00,0.14
988.00,-0.20
989.00,-0.03
990.00,0.09
991.00,-0.24
992.00,0.09
993.00,-0.12
994.00,0.04
995.00,-0.18
996.00,0.59
997.00,-0.08
998.00,-0.17
999.00,-0.11
1000.00,-0.07
1001.00,0.65
1002.00,0.22
1003.00,-0.41
1004.00,-0.06
1005.00,-0.27
1006.00,-0.32
1007.00,-0.32
1008.00,-0.58
1009.00,-0.17
1010.00,0.62
1011.00,0.54
1012.00,0.18
1013.00,-0.19
1014.00,-0.13
1015.00,-0.25
1016.00,-0.37
1017.00,-0.58
1018.00,-0.80
1019.00,-0.09
1020.00,0.21
1021.00,0.14
1022.00,-0.01
1023.00,-0.33
1024.00,0.18
1025.00,0.48
1026.00,-0.11
1027.00,0.19
1028.00,-0.17
1029.00,0.09
1030.00,-0.08
1031.00,-0.52
1032.00,-0.32
1033.00,-0.63
1034.00,-0.57
1035.00,0.12
1036.00,-0.07
1037.00,-0.00
1038.00,-0.48
1039.00,0.03
1040.00,0.11
1041.00,-0.05
1042.00,0.41
1043.00,-0.05
1044.00,0.50
1045.00,0.30
1046.00,0.13
1047.00,-0.09
1048.00,0.11
1049.00,0.02
1050.00,0.06
1051.00,0.09
1052.00,0.23
1053.00,-0.19
1054.00,-0.10
1055.00,-0.28
1056.00,-0.01
1057.00,-0.05
1058.00,0.54
1059.00,-0.00
1060.00,0.30
1061.00,-0.21
1062.00,0.61
1063.00,-0.22
1064.00,0.12
1065.00,0.04
1066.00,0.36
1067.00,-0.08
1068.00,0.08
1069.00,-0.41
1070.00,-0.02
1071.00,0.51
1072.00,0.09
1073.00,0.01
1074.00,0.09
1075.00,0.15
1076.00,-0.34
1077.00,-0.14
1078.00,0.15
1079.00,-0.17
1080.00,0.39
1081.00,0.21
1082.00,-0.00
1083.00,0.49
1084.00,-0.21
1085.00,0.46
1086.00,0.04
1087.00,-0.02
1088.00,0.13
1089.00,0.16
1090.00,0.48
1091.00,0.78
1092.00,0.70
1093.00,0.52
1094.00,0.39
1095.00,0.42
1096.00,0.70
1097.00,0.81
1098.00,0.66
1099.00,0.19
1100.00,0.41
1101.00,0.34
1102.00,0.46
1103.00,0.11
1104.00,0.09
1105.00,0.16
1106.00,0.20
1107.00,0.09
1108.00,-0.05
1109.00,-0.41
1110.00,-0.19
1111.00,0.14
1112.00,-0.18
1113.00,0.08
1114.00,0.13
1115.00,0.09
1116.00,0.39
1117.00,0.42
1118.00,0.65
1119.00,0.18
1120.00,0.18
1121.00,0.46
1122.00,0.02
1123.00,0.02
1124.00,-0.12
1125.00,0.40
1126.00,0.05
1127.00,-0.36
1128.00,-0.14
1129.00,-0.21
1130.00,0.02
1131.00,-0.04
1132.00,-0.08
1133.00,0.49
1134.00,0.51
1135.00,0.36
1136.00,0.32
1137.00,0.45
1138.00,0.45
1139.00,0.35
1140.00,0.81
1141.00,0.59
1142.00,0.49
1143.00,0.24
1144.00,-0.20
1145.00,-0.24
1146.00,0.02
1147.00,0.55
1148.00,0.38
1149.00,0.82
1150.00,0.53
1151.00,0.62
1152.00,-0.23
1153.00,0.33
1154.00,0.61
1155.00,0.87
1156.00,0.53
1157.00,0.75
1158.00,0.77
1159.00,0.03
1160.00,0.59
1161.00,0.79
1162.00,0.27
1163.00,0.62
1164.00,0.30
1165.00,0.19
1166.00,0.53
1167.00,0.26
1168.00,-0.07
1169.00,0.58
1170.00,0.26
1171.00,0.53
1172.00,0.33
1173.00,0.88
1174.00,0.60
1175.00,0.66
1176.00,0.40
1177.00,0.26
1178.00,0.16
1179.00,0.00
1180.00,0.12
1181.00,-0.13
1182.00,0.13
1183.00,0.24
1184.00,0.66
1185.00,0.79
1186.00,0.59
1187.00,0.19
1188.00,0.60
1189.00,0.31
1190.00,0.30
1191.00,0.13
1192.00,0.38
