Dataset name: LMR
Dataset details: lmr v.2_1_0 tas annual
Method(s): ['LMR']
Lat/lon or region: 30.0 degN -90.0 degE
---
Original source URL: https://www.ncei.noaa.gov/access/paleo-search/study/27850
New reference period: 0-1 ka
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: temperature (degrees Celsius)
---
Year (CE),LMR mean (degrees Celsius)
0.00,0.08
1.00,0.15
2.00,0.07
3.00,0.07
4.00,0.12
5.00,0.04
6.00,0.17
7.00,0.19
8.00,0.23
9.00,0.12
10.00,0.09
11.00,0.06
12.00,0.10
13.00,0.16
14.00,0.11
15.00,0.10
16.00,0.05
17.00,0.13
18.00,0.11
19.00,0.11
20.00,0.07
21.00,0.04
22.00,0.01
23.00,-0.04
24.00,-0.03
25.00,0.02
26.00,0.09
27.00,0.11
28.00,0.08
29.00,0.04
30.00,0.03
31.00,0.03
32.00,0.05
33.00,0.07
34.00,0.07
35.00,0.12
36.00,0.03
37.00,0.17
38.00,0.10
39.00,0.13
40.00,0.10
41.00,0.12
42.00,0.23
43.00,0.23
44.00,0.16
45.00,0.20
46.00,0.16
47.00,0.13
48.00,0.15
49.00,0.16
50.00,0.15
51.00,0.19
52.00,0.14
53.00,0.11
54.00,0.20
55.00,0.14
56.00,0.12
57.00,0.04
58.00,0.13
59.00,0.04
60.00,0.13
61.00,0.27
62.00,0.16
63.00,0.15
64.00,0.19
65.00,0.19
66.00,0.11
67.00,0.13
68.00,0.32
69.00,0.03
70.00,-0.02
71.00,0.19
72.00,0.16
73.00,0.05
74.00,0.04
75.00,0.08
76.00,0.04
77.00,0.06
78.00,0.13
79.00,0.13
80.00,0.16
81.00,0.10
82.00,0.09
83.00,0.05
84.00,0.05
85.00,0.09
86.00,0.06
87.00,0.18
88.00,0.19
89.00,0.16
90.00,0.12
91.00,0.07
92.00,0.19
93.00,0.17
94.00,0.04
95.00,-0.03
96.00,0.06
97.00,0.05
98.00,-0.01
99.00,0.06
100.00,0.01
101.00,0.09
102.00,0.05
103.00,0.08
104.00,0.08
105.00,0.19
106.00,0.13
107.00,0.14
108.00,0.18
109.00,0.06
110.00,0.11
111.00,0.19
112.00,0.12
113.00,0.09
114.00,0.18
115.00,0.14
116.00,0.14
117.00,0.21
118.00,0.07
119.00,0.11
120.00,0.16
121.00,0.06
122.00,0.10
123.00,-0.06
124.00,0.29
125.00,0.02
126.00,-0.03
127.00,0.05
128.00,-0.06
129.00,0.03
130.00,-0.02
131.00,0.05
132.00,0.03
133.00,-0.01
134.00,-0.03
135.00,0.02
136.00,0.07
137.00,-0.02
138.00,-0.04
139.00,0.03
140.00,0.04
141.00,0.04
142.00,0.06
143.00,0.04
144.00,0.02
145.00,0.08
146.00,0.04
147.00,0.05
148.00,0.04
149.00,0.10
150.00,0.04
151.00,-0.01
152.00,0.01
153.00,0.07
154.00,0.04
155.00,0.13
156.00,0.04
157.00,0.03
158.00,0.04
159.00,0.07
160.00,0.14
161.00,0.06
162.00,0.01
163.00,0.02
164.00,0.11
165.00,0.20
166.00,0.09
167.00,0.08
168.00,0.07
169.00,0.10
170.00,0.01
171.00,0.05
172.00,0.08
173.00,0.11
174.00,0.03
175.00,0.02
176.00,0.11
177.00,0.12
178.00,0.05
179.00,-0.06
180.00,0.06
181.00,0.09
182.00,0.07
183.00,0.00
184.00,0.02
185.00,0.00
186.00,0.05
187.00,-0.02
188.00,-0.02
189.00,0.03
190.00,-0.05
191.00,0.03
192.00,0.02
193.00,0.03
194.00,0.08
195.00,0.12
196.00,0.21
197.00,0.21
198.00,0.12
199.00,0.04
200.00,0.07
201.00,0.01
202.00,0.03
203.00,0.01
204.00,0.07
205.00,0.05
206.00,0.09
207.00,0.12
208.00,0.04
209.00,0.11
210.00,0.11
211.00,0.12
212.00,0.00
213.00,0.12
214.00,0.06
215.00,0.00
216.00,0.04
217.00,0.07
218.00,0.06
219.00,0.07
220.00,0.06
221.00,0.03
222.00,0.01
223.00,0.13
224.00,0.18
225.00,0.11
226.00,0.08
227.00,0.10
228.00,0.03
229.00,0.07
230.00,0.04
231.00,0.04
232.00,0.05
233.00,0.04
234.00,0.02
235.00,0.09
236.00,0.04
237.00,0.05
238.00,0.11
239.00,0.26
240.00,0.18
241.00,0.15
242.00,0.17
243.00,0.13
244.00,0.16
245.00,0.13
246.00,0.26
247.00,0.20
248.00,0.23
249.00,0.23
250.00,0.22
251.00,0.13
252.00,0.26
253.00,0.17
254.00,0.14
255.00,0.15
256.00,0.14
257.00,0.09
258.00,0.07
259.00,0.12
260.00,0.06
261.00,0.09
262.00,0.08
263.00,0.06
264.00,0.15
265.00,0.06
266.00,0.07
267.00,0.10
268.00,0.02
269.00,-0.05
270.00,-0.06
271.00,-0.10
272.00,-0.10
273.00,-0.07
274.00,-0.06
275.00,-0.06
276.00,-0.01
277.00,-0.00
